Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-71.8249,3111.12,2.72609,µm,Spot,Position,1,96658,
-50.9013,3120.07,2.72609,µm,Spot,Position,1,96659,
-114.021,3135.41,8.27869,µm,Spot,Position,1,96660,
-126.402,3099.7,24.4239,µm,Spot,Position,1,96661,
-15.6643,3153.8,22.2506,µm,Spot,Position,1,96662,
-146.048,3134.2,42.8379,µm,Spot,Position,1,96663,
-74.1396,3117.87,46.54,µm,Spot,Position,1,96664,
-153.744,3122.33,45.3074,µm,Spot,Position,1,96665,
-15.1665,3125.26,46.7548,µm,Spot,Position,1,96666,
-60.5888,3184.3,50.0986,µm,Spot,Position,1,96667,
-17.2116,3184.65,49.776,µm,Spot,Position,1,96668,
-90.9694,3178.33,62.4123,µm,Spot,Position,1,96669,
-9.28218,3200.14,73.3555,µm,Spot,Position,1,96670,
16.0823,3162.47,2.72609,µm,Spot,Position,1,96672,
57.8909,3162.52,2.72609,µm,Spot,Position,1,96673,
71.5818,3101.89,16.5731,µm,Spot,Position,1,96674,
58.1228,3165.31,31.8908,µm,Spot,Position,1,96675,
100.729,3178.9,30.0861,µm,Spot,Position,1,96676,
31.7019,3138.19,36.0598,µm,Spot,Position,1,96677,
132.595,3164.62,36.4472,µm,Spot,Position,1,96678,
89.3997,3187.34,48.1018,µm,Spot,Position,1,96679,
6.5164,3159.82,76.039,µm,Spot,Position,1,96680,
103.461,3171.01,78.9668,µm,Spot,Position,1,96681,
31.9407,3207.24,77.1443,µm,Spot,Position,1,96682,
237.407,3201.2,7.43871,µm,Spot,Position,1,96683,
170.122,3200.39,24.6345,µm,Spot,Position,1,96684,
359.117,3132.85,78.6421,µm,Spot,Position,1,96685,
574.365,3152.06,2.72609,µm,Spot,Position,1,96686,
552.004,3160.42,42.6342,µm,Spot,Position,1,96687,
595.263,3218.41,44.9221,µm,Spot,Position,1,96688,
550.019,3150.51,68.9413,µm,Spot,Position,1,96689,
765.925,3190.26,18.7365,µm,Spot,Position,1,96690,
756.074,3150.63,43.3822,µm,Spot,Position,1,96691,
751.631,3214.04,87.097,µm,Spot,Position,1,96692,
851.132,3088.42,19.3683,µm,Spot,Position,1,96693,
850.431,3150.49,33.3736,µm,Spot,Position,1,96695,
885.297,3102.04,39.2892,µm,Spot,Position,1,96696,
810.457,3106.78,46.9371,µm,Spot,Position,1,96697,
794.121,3214.59,54.4613,µm,Spot,Position,1,96698,
911.458,3061.76,57.3344,µm,Spot,Position,1,96699,
827.961,3106.71,63.6276,µm,Spot,Position,1,96700,
859.629,3151.25,62.3654,µm,Spot,Position,1,96701,
790.18,3144.05,68.0447,µm,Spot,Position,1,96702,
874.614,3190.91,78.6433,µm,Spot,Position,1,96703,
832.267,3203.8,77.575,µm,Spot,Position,1,96704,
107.49,3226.78,44.5042,µm,Spot,Position,1,96706,
106.856,3247.72,49.4506,µm,Spot,Position,1,96707,
145.616,3266.29,64.1061,µm,Spot,Position,1,96708,
65.4559,3228.6,69.7805,µm,Spot,Position,1,96709,
33.8025,3271.56,76.6181,µm,Spot,Position,1,96710,
198.977,3247.76,29.873,µm,Spot,Position,1,96711,
204.693,3288.72,68.4461,µm,Spot,Position,1,96712,
171.766,3240.6,78.9051,µm,Spot,Position,1,96713,
347.65,3252.82,40.4427,µm,Spot,Position,1,96714,
320.997,3263.07,44.6284,µm,Spot,Position,1,96715,
794.157,3254.46,83.0266,µm,Spot,Position,1,96716,
2678.2,-3223.93,158.495,µm,Spot,Position,1,96717,
3014.93,-3045.48,108.378,µm,Spot,Position,1,96722,
3115.21,-2623.48,173.792,µm,Spot,Position,1,96723,
1177.27,-2290.09,107.467,µm,Spot,Position,1,96726,
1196.16,-2278.55,106.219,µm,Spot,Position,1,96727,
1139.92,-2369.23,123.104,µm,Spot,Position,1,96728,
923.117,-2163.92,89.2074,µm,Spot,Position,1,96730,
862.187,-2179.39,98.267,µm,Spot,Position,1,96732,
818.03,-2172.36,101.933,µm,Spot,Position,1,96733,
1149.18,-1989.05,136.755,µm,Spot,Position,1,96734,
898.452,-1841.75,109.444,µm,Spot,Position,1,96735,
1939.65,-1648.08,160.904,µm,Spot,Position,1,96736,
2002.8,-1726.83,166.623,µm,Spot,Position,1,96738,
2002.28,-1715.4,166.201,µm,Spot,Position,1,96739,
1977.92,-1669.56,166.584,µm,Spot,Position,1,96740,
1967.78,-1754.71,174.463,µm,Spot,Position,1,96741,
1976.45,-1685.91,170.86,µm,Spot,Position,1,96742,
2052.88,-1729.31,115.58,µm,Spot,Position,1,96743,
2285.28,-815.361,162.233,µm,Spot,Position,1,96744,
2160.97,-176.714,121.109,µm,Spot,Position,1,96745,
2126.99,11.7781,94.2415,µm,Spot,Position,1,96746,
2092.73,-16.0927,120.224,µm,Spot,Position,1,96747,
2129.21,-42.7111,127.697,µm,Spot,Position,1,96748,
1788.8,410.703,103.452,µm,Spot,Position,1,96749,
